Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Olaza,Real Valladolid,551.011€,109,36,2064,1,1,3,7,12,20,10,131,290,0,27,0,0,1,5,0,0,0,0
Guillamón,Valencia CF,1.300.741€,109,35,2876,1,3,9,31,57,12,6,191,484,0,44,0,0,1,8,0,1,0,1
Unai Nuñez,Athletic Club,697.573€,109,32,1989,1,0,0,0,103,1,1,148,168,0,25,0,0,1,8,0,0,0,1
Racic,Valencia CF,910.319€,109,37,2107,1,1,2,0,104,4,5,158,224,0,23,0,0,3,6,0,0,0,0
Dani Gómez,Levante UD,508.556€,109,33,2190,1,1,0,1,52,24,11,181,270,0,35,0,0,1,6,0,0,0,0
Aitor Ruibal,Real Betis,503.885€,108,38,1660,2,2,1,1,4,33,8,45,217,0,27,0,0,0,3,0,1,0,0
Pedraza,Villarreal CF,515.143€,108,35,1531,2,1,2,4,6,38,14,102,248,0,24,0,0,0,2,0,0,0,0
Fran Beltrán,RC Celta,920.861€,108,34,2103,1,2,5,27,33,23,8,133,382,0,29,0,0,0,8,0,2,0,1
Hervías,Real Valladolid,661.865€,107,38,1391,3,0,1,2,22,9,7,122,110,0,28,0,0,0,3,0,0,0,0
Claudio Bravo,Real Betis,497.326€,107,31,1193,0,5,5,36,8,18,7,120,233,0,19,0,0,0,1,0,0,0,0
Laguardia,D. Alavés,1.152.351€,106,24,1710,0,0,0,0,16,3,0,140,221,0,24,0,47,0,3,0,0,1,0
Iñigo Martínez,Athletic Club,669.417€,106,37,2636,0,1,1,1,99,0,3,140,273,0,46,1,0,0,5,0,0,0,0
Soldado,Granada CF,2.414.194€,106,31,2519,1,0,1,2,97,4,7,191,280,0,34,1,0,0,9,0,0,0,0
Inui,SD Eibar,606.278€,106,30,1440,9,0,1,0,14,4,12,44,185,0,25,0,0,0,6,1,0,0,0
Barrenetxea,Real Sociedad,506.313€,105,38,1826,1,0,3,12,6,26,17,101,297,0,25,0,0,0,0,0,1,0,0
Joaquín,Real Betis,523.682€,104,36,1299,3,0,2,6,5,39,7,85,239,0,16,0,0,0,7,0,0,0,0
Roque Mesa,Real Valladolid,738.025€,104,35,1225,2,5,4,17,7,20,5,68,193,0,17,0,0,0,1,0,0,0,0
Jorge Molina,Granada CF,601.571€,104,31,1772,1,0,0,16,21,33,5,154,288,0,24,1,0,0,4,0,0,0,0
