Nombre,Precio,Media,Total_puntos,posicion,link_equipo
P. Ibáñez,321.000,"3,0",48,3,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
C. Aleñá,↓ 164.000,"2,9",47,3,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
Pedri,↑ 16.252.000,"5,8",46,3,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
D. Alaba,↓ 5.110.000,"3,3",46,2,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
R. Sanchez,↓ 280.000,"3,3",46,3,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
A. Abqar,↓ 160.000,"3,3",46,2,https://cdn.gomister.com/file/cdn-common/teams/48.png?version=20240121
J. Costa,↓ 352.000,"2,6",46,2,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
A. Lunin,↑ 3.946.000,"5,6",45,1,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
U. Gómez,↓ 669.000,"3,5",45,3,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
A. Pedraza,↓ 2.524.000,"3,2",45,2,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
H. Guillamón,↑ 1.718.000,"3,2",45,3,https://cdn.gomister.com/file/cdn-common/teams/19.png?version=20240121
J. Cruz,↓ 629.000,"3,2",45,2,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
D. Machís,↓ 598.000,"3,0",45,4,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
É. González,↑ 2.536.000,"2,8",45,2,https://cdn.gomister.com/file/cdn-common/teams/21.png?version=20240121
L. Milla,↑ 7.395.000,"4,9",44,3,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
A. Sedlar,↑ 166.000,"4,0",44,2,https://cdn.gomister.com/file/cdn-common/teams/48.png?version=20240121
T. Lato,↑ 570.000,"3,1",44,2,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
I. Hagi,↓ 464.000,"3,1",44,3,https://cdn.gomister.com/file/cdn-common/teams/48.png?version=20240121
A. Christensen,↓ 5.098.000,"2,9",44,2,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
D. Suárez,↓ 534.000,"2,9",44,2,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
