Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Masip,Real Valladolid,2.505.760€,172,34,2508,0,0,0,0,14,0,0,219,283,0,42,0,106,0,4,0,0,3,0
Gavi,FC Barcelona,66.863.818€,171,36,2543,2,4,5,6,21,23,8,132,302,0,11,0,0,0,10,0,0,0,0
Guido Rodríguez,Real Betis,18.490.989€,170,35,2876,1,0,0,1,67,21,7,253,270,0,32,0,0,0,8,0,0,0,1
Dimitrievski,Rayo Vallecano,3.596.633€,168,38,3325,0,0,0,0,31,0,0,321,432,0,49,0,95,0,4,0,0,0,0
Unai Simón,Athletic Club,7.709.219€,166,35,2745,0,0,0,0,13,0,0,240,265,0,37,0,70,0,2,0,0,0,0
Moi Gómez,C.A. Osasuna,16.029.732€,164,34,2459,3,2,5,44,5,22,12,188,303,0,27,0,0,0,5,0,0,0,0
Oblak,Atlético de Madrid,12.564.076€,164,28,2494,0,0,0,0,13,1,0,192,279,0,20,0,61,0,1,0,0,0,0
Taty Castellanos,Girona FC,14.332.147€,163,35,2618,13,0,2,1,26,12,35,62,247,0,41,0,0,0,11,0,0,0,0
Busquets,FC Barcelona,33.575.909€,163,34,2347,0,4,4,4,30,11,2,215,261,0,11,0,0,0,6,1,0,0,0
Le Normand,Real Sociedad,46.805.022€,163,34,2795,0,0,0,0,89,2,2,178,233,0,25,0,0,0,6,0,0,0,1
Pau Torres,Villarreal CF,40.488.706€,162,35,3055,1,0,2,1,137,26,5,209,363,0,35,0,0,0,10,0,2,0,1
Silva,Real Sociedad,38.850.696€,161,29,1958,2,5,9,3,16,19,14,156,264,0,21,0,0,0,4,0,0,0,0
Comesaña,Rayo Vallecano,8.011.475€,161,35,2469,3,2,0,2,15,31,7,208,305,0,33,0,0,0,6,0,0,0,0
Gumbau,Elche CF,1.407.905€,160,35,2744,1,6,9,83,37,7,18,192,383,0,54,0,0,0,11,0,0,0,0
Vesga,Athletic Club,17.891.917€,158,36,2574,3,3,1,4,37,8,8,235,310,1,30,0,0,0,5,0,1,0,1
Riquelme,Girona FC,11.546.790€,158,35,2187,4,4,7,18,4,57,23,124,391,0,41,0,0,1,1,0,0,0,0
William Carvalho,Real Betis,14.095.188€,157,33,2451,3,0,1,2,20,27,9,177,304,0,24,1,0,0,6,0,0,0,0
De Marcos,Athletic Club,22.145.207€,157,37,2824,1,6,4,38,55,10,2,226,496,0,34,0,0,0,7,0,0,0,1
Unai Nuñez,RC Celta,25.139.735€,156,37,3151,0,0,0,1,129,10,5,273,300,0,48,0,0,0,8,0,0,0,1
David García,C.A. Osasuna,26.964.761€,156,33,2683,2,0,0,0,146,3,4,209,284,0,35,1,0,1,8,0,0,0,0
Carles Pérez,RC Celta,5.226.326€,155,35,2125,3,5,3,4,8,45,21,116,264,0,24,0,0,0,4,0,1,0,0
Rüdiger,Real Madrid,38.593.339€,153,35,2410,1,0,0,0,67,3,4,176,143,0,25,0,0,0,1,0,0,0,0
Gudelj,Sevilla FC,4.229.619€,153,36,2777,3,1,1,2,104,3,11,150,173,0,46,0,0,0,8,0,0,0,0
Camello,Rayo Vallecano,6.247.868€,153,38,2412,6,5,2,2,26,18,19,67,248,0,38,0,0,0,1,0,0,0,0
De Paul,Atlético de Madrid,18.204.313€,153,33,1935,2,7,12,14,4,17,5,131,322,0,20,0,0,0,5,0,0,0,0
Canales,Real Betis,51.787.378€,152,31,2412,4,3,7,34,4,28,12,137,476,0,28,1,0,0,2,1,0,0,0
Catena,Rayo Vallecano,14.420.324€,152,35,3105,1,1,2,0,158,2,5,205,337,0,48,0,0,0,12,1,0,0,0
Puado,RCD Espanyol,1.481.666€,152,37,2349,7,2,3,6,9,21,28,143,265,0,44,0,0,0,4,0,1,0,0
Koke,Atlético de Madrid,8.852.531€,151,34,2560,0,3,1,4,18,13,2,191,301,0,24,0,0,0,4,0,0,0,0
Gazzaniga,Girona FC,1.383.824€,150,34,2520,0,0,0,0,12,0,0,266,293,0,37,0,93,0,4,0,0,1,0
Berenguer,Athletic Club,4.610.918€,150,38,2301,4,1,6,51,4,36,23,124,480,0,33,0,0,0,2,0,0,0,0
Fran Beltrán,RC Celta,8.706.661€,150,36,2862,0,2,2,16,34,16,2,249,263,0,44,0,0,1,4,0,0,0,0
Camavinga,Real Madrid,45.481.992€,150,37,2002,0,1,2,1,19,35,3,156,233,0,16,0,0,0,6,0,0,0,0
Borja Mayoral,Getafe CF,5.265.290€,149,38,2774,8,2,5,6,7,23,23,108,351,2,40,0,0,0,4,0,1,0,0
Dembélé,FC Barcelona,74.237.258€,149,25,1414,5,7,8,24,1,43,18,60,315,0,11,0,0,0,4,0,0,0,0
Tchouaméni,Real Madrid,37.035.559€,149,34,2120,0,4,4,1,48,27,6,171,170,0,27,0,0,0,2,0,0,0,0
Zubeldia,Real Sociedad,31.765.691€,148,35,2546,1,1,1,2,88,7,1,185,236,0,26,0,0,0,11,0,0,0,1
Pezzella,Real Betis,24.187.208€,147,33,2516,0,0,0,0,129,4,0,153,197,0,28,3,0,0,4,0,0,0,0
Boyé,Elche CF,1.166.355€,147,35,2471,7,2,7,8,46,77,21,119,416,1,47,1,0,0,7,0,0,0,0
Álex Baena,Villarreal CF,21.651.814€,146,35,1941,6,2,10,7,13,26,24,107,276,0,23,0,0,1,11,1,1,0,0
Fran García,Rayo Vallecano,20.936.301€,145,38,3408,2,3,0,35,53,27,11,272,538,0,53,0,0,2,1,0,0,0,0
Gonzalo Plata,Real Valladolid,1.758.639€,145,34,2308,1,5,2,10,7,60,14,135,407,0,37,0,0,0,1,0,3,0,0
Oriol Romeu,Girona FC,2.607.278€,145,32,2862,2,0,0,2,44,16,6,222,273,0,46,0,0,1,7,1,0,0,0
Jackson,Villarreal CF,24.308.749€,145,28,1510,11,4,7,2,2,25,23,47,174,0,18,0,0,0,4,1,0,0,0
Rui Silva,Real Betis,2.683.554€,144,37,2340,0,0,0,0,16,1,0,216,295,0,32,0,73,0,2,0,0,0,0
Trejo,Rayo Vallecano,4.176.919€,143,34,2164,3,4,5,5,7,51,9,149,399,1,32,0,0,0,9,0,0,0,0
Ansu Fati,FC Barcelona,12.446.254€,142,37,1380,7,3,2,4,5,21,20,71,193,0,5,0,0,0,3,0,0,0,0
Torró,C.A. Osasuna,4.277.285€,142,34,2488,1,0,0,0,64,10,5,224,278,0,25,0,0,0,10,0,0,0,0
Hermoso,Atlético de Madrid,16.425.872€,142,36,2111,3,2,3,2,77,13,5,155,237,0,19,0,0,1,3,2,0,0,0
Miguel Gutiérrez,Girona FC,2.677.881€,141,37,2396,2,3,7,23,36,34,4,176,352,0,36,0,0,0,6,0,0,0,0
Alcaraz,Cádiz CF,1.281.175€,140,31,2048,3,0,3,23,37,10,8,178,291,1,26,0,0,1,9,0,0,0,0
Maffeo,RCD Mallorca,5.795.534€,139,35,2978,2,4,4,23,60,35,5,188,539,0,40,1,0,0,6,0,0,0,0
Ceballos,Real Madrid,22.384.128€,139,33,1567,0,4,1,6,5,38,5,159,210,0,14,0,0,0,8,0,0,0,0
Espino,Cádiz CF,1.765.759€,138,37,3123,0,4,5,26,86,23,3,296,650,0,43,0,0,3,7,0,0,0,0
Rodri,Real Betis,5.047.803€,138,37,1606,2,3,5,8,1,27,6,113,217,0,15,0,0,0,0,0,1,0,0
Javi Galán,RC Celta,7.199.985€,137,37,3162,0,3,3,43,57,68,1,247,634,0,49,0,0,1,6,0,0,0,0
Diakhaby,Valencia CF,5.670.696€,136,33,2448,3,0,0,1,103,6,8,168,237,0,29,0,0,0,5,1,0,0,0
